Key,Summary,Status,Resolution,Created,Updated,Resolved
LUNI-753,Investigate how to forge Daedric weapons,Done,Complete,22/Mar/2017 5:30 PM,05/Apr/2017 2:35 PM,05/Apr/2017 2:35 PM
LUNI-720,Final UI design for dragon wings,Done,Complete,14/Mar/2017 9:24 AM,28/Mar/2017 10:22 AM,28/Mar/2017 10:22 AM
LUNI-719,"Final UX design for horses, including saddles",Done,Complete,14/Mar/2017 9:23 AM,28/Mar/2017 1:33 PM,28/Mar/2017 1:33 PM
LUNI-718,Extend personas to include selling,Done,Delivered,14/Mar/2017 9:16 AM,22/Mar/2017 11:50 AM,22/Mar/2017 11:50 AM
LUNI-709,Spike - location and navigation approach,Done,Complete,09/Mar/2017 1:41 PM,28/Mar/2017 1:01 PM,28/Mar/2017 1:01 PM
LUNI-697,Build guard no-entry requirement based on unconvincing disguise,Done,Complete,07/Mar/2017 8:35 AM,14/Mar/2017 4:29 PM,
LUNI-689,Spike - Manage save games,Done,Complete,01/Mar/2017 3:44 PM,15/Mar/2017 10:02 AM,
LUNI-688,Redux form abstraction to dynamically create NPCs,Done,Complete,01/Mar/2017 12:09 PM,13/Mar/2017 11:29 AM,
LUNI-687,Make Hearthfire home build portable,Done,Complete,01/Mar/2017 12:07 PM,08/Mar/2017 11:39 AM,08/Mar/2017 11:39 AM
LUNI-677,Define and agree research strategy for prices wrt speech skill,Done,Complete,28/Feb/2017 2:27 PM,28/Mar/2017 11:02 AM,28/Mar/2017 11:02 AM
LUNI-676,UX - Start UX for caravan seller locations,Done,Complete,28/Feb/2017 2:25 PM,28/Mar/2017 11:02 AM,28/Mar/2017 11:02 AM
LUNI-664,Multiplayer infrastructure setup,Done,Complete,23/Feb/2017 12:00 PM,22/Mar/2017 1:39 PM,22/Mar/2017 1:39 PM
LUNI-663,Refactor boxes for Imperial Mail,Done,Complete,23/Feb/2017 9:28 AM,28/Mar/2017 9:14 AM,28/Mar/2017 9:14 AM
LUNI-662,Clean up of code in mail boxes and mock postal service,Done,Complete,23/Feb/2017 9:24 AM,22/Mar/2017 1:40 PM,22/Mar/2017 1:40 PM
LUNI-661,Spike - Transition from marketplace to outside gates on guard detection,Done,Complete,23/Feb/2017 9:21 AM,15/Mar/2017 10:03 AM,15/Mar/2017 10:03 AM
LUNI-660,Spike - Transition from shop to outside gates on guard detection,Done,Complete,23/Feb/2017 9:19 AM,15/Mar/2017 10:02 AM,15/Mar/2017 10:02 AM
LUNI-651,Spike - NPC framework,Done,Complete,21/Feb/2017 12:36 PM,28/Feb/2017 8:48 AM,28/Feb/2017 8:48 AM
LUNI-649,Implement code review comments for 'Create Guard to allow entry',Done,Done,20/Feb/2017 2:28 PM,28/Feb/2017 8:58 AM,28/Feb/2017 8:58 AM
LUNI-641,May need to build UI instance for every Morrowind book,Resolved,Complete,17/Feb/2017 4:32 PM,24/Mar/2017 5:04 PM,24/Mar/2017 5:04 PM
LUNI-639,Tech lead resource,Closed,Mitigated,17/Feb/2017 4:21 PM,20/Feb/2017 7:29 PM,20/Feb/2017 7:29 PM
LUNI-638,Update test data to support SkyProccer tests,Done,Done,17/Feb/2017 10:40 AM,06/Mar/2017 10:08 AM,06/Mar/2017 10:08 AM
LUNI-608,Hide feedback button on existing selling / buying dialogue,Done,Complete,15/Feb/2017 11:44 AM,20/Feb/2017 10:25 AM,20/Feb/2017 10:25 AM
LUNI-606,Move gate entry to guards' AI package,Done,Done,14/Feb/2017 11:04 AM,20/Feb/2017 1:38 PM,20/Feb/2017 1:38 PM
LUNI-605,Add gates to Windhelm,Done,Done,14/Feb/2017 8:52 AM,20/Feb/2017 1:49 PM,20/Feb/2017 1:49 PM
LUNI-560,Dragon style guide - colour palatte and accessibility,Done,Delivered,13/Feb/2017 8:24 PM,05/Apr/2017 11:38 AM,05/Apr/2017 11:38 AM
LUNI-549,Dragons - Complete prototype for testing eggs,Done,Complete,13/Feb/2017 5:46 PM,16/Mar/2017 8:20 AM,16/Mar/2017 8:20 AM
LUNI-547,Dragons - Complete prototype for testing unidentified eggs,Done,Complete,13/Feb/2017 5:44 PM,16/Mar/2017 8:20 AM,16/Mar/2017 8:20 AM
LUNI-541,Configure logging path and set up for Papyrus across all environments,Done,Complete,13/Feb/2017 2:52 PM,27/Mar/2017 2:42 PM,27/Mar/2017 2:42 PM
LUNI-537,Update Imperial Mail for heavy package pricing,Done,Complete,13/Feb/2017 11:02 AM,13/Feb/2017 4:06 PM,13/Feb/2017 4:06 PM
LUNI-536,UI Developer resource,Resolved,Complete,10/Feb/2017 5:04 PM,24/Mar/2017 5:03 PM,24/Mar/2017 5:03 PM
LUNI-532,Update Imperial Mail to concatenate pricing for small and large items,Done,Complete,07/Feb/2017 4:07 PM,14/Feb/2017 1:30 PM,14/Feb/2017 1:30 PM
LUNI-528,Create save game overload confirmation,Done,Complete,07/Feb/2017 1:47 PM,14/Mar/2017 2:46 PM,14/Mar/2017 2:46 PM
LUNI-527,Create save game confirmation for new save,Done,Done,07/Feb/2017 1:45 PM,14/Feb/2017 1:54 PM,14/Feb/2017 1:54 PM
LUNI-526,Team Space,Resolved,Complete,07/Feb/2017 12:56 PM,24/Mar/2017 5:02 PM,24/Mar/2017 5:02 PM
LUNI-513,Develop the map,Done,Complete,06/Feb/2017 1:45 PM,13/Feb/2017 10:53 AM,13/Feb/2017 10:53 AM
LUNI-474,New Shrine code implementation,Done,Complete,05/Feb/2017 8:05 PM,28/Mar/2017 9:22 AM,28/Mar/2017 9:22 AM
LUNI-457,Define and agree test strategy,Done,Complete,03/Feb/2017 1:04 PM,27/Feb/2017 4:51 PM,27/Feb/2017 4:51 PM
LUNI-456,Create and maintain session,Done,Complete,03/Feb/2017 8:21 AM,06/Apr/2017 10:05 AM,06/Apr/2017 10:05 AM
LUNI-454,Update Imperial Mail with mock order to enable Whiterun shipments,Done,Complete,01/Feb/2017 5:36 PM,03/Feb/2017 10:04 AM,03/Feb/2017 10:04 AM
LUNI-449,Define and implement framework for triggering events,Done,Complete,31/Jan/2017 12:33 PM,15/Mar/2017 6:15 PM,15/Mar/2017 6:15 PM
LUNI-438,Proceed to marketplace from shop,Done,Complete,30/Jan/2017 5:03 PM,05/Apr/2017 3:12 PM,05/Apr/2017 3:12 PM
